Name,ID,NAME1,NAME2,SIDE 1,ARMY 2,CORPS 3,DIV 4,BGDE 5,BTN 6,CLASS,PORTRAIT,Weapon,AMMO,FLAGS,FLAG2,Formation,Head Count,Ability,Command,Control,Leadership,Style,Experience,Fatigue,Morale,Close,Open,Edged,Firearm,Marksmanship,Horsemanship,Surgeon,Calisthenics
Union Army Commander,OOB_MNK_U_ARM_CMD_,Major General {pool:commanders_american},Army of the Potomac,,X,,,,,UGLB_USA_Inf_Cdr_Army,(0-0),,,GFX_US_National,,DRIL_Lvl4_Inf_LinewithReserves,1,{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},,,,,,,,,,
Confederate Army Commander,OOB_MNK_C_ARM_CMD_,General {pool:commanders_american},Army of Northern Virginia,,X,,,,,UGLB_CSA_Inf_Cdr_Army,(0-0),,,GFX_CS_HQ_Lee,,DRIL_Lvl4_Inf_LinewithReserves,1,{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},,,,,,,,,,

, Side Commanders
French Side Commander,OOB_MNK_FR_SIDE_CMD_,{pool:commanders_french},Armée {pick:du Nord|des Ardennes|de la Mosellle},X,,,,,,UGLB_FR_Inf_Cdr_Army_Napoleon,(0-1),,,GFX_CO_France,,DRIL_Lvl3_Inf_Res_Corps_FR,1,{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},,,,,,,,,,
British Side Commander,OOB_MNK_BR_SIDE_CMD_,Field Marshal {pool:commanders_british},Army of Low Countries,X,,,,,,UGLB_BR_Inf_Cdr_Army,(0-1),,,GFX_CO_British,,DRIL_Lvl3_Inf_Res_Corps_Br,1,{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},,,,,,,,,,
Union Side Commander,OOB_MNK_U_SIDE_CMD_,Major General {pool:commanders_american},Army of the Potomac,X,,,,,,UGLB_USA_Inf_Cdr_Army,(0-0),,,GFX_US_National,,DRIL_Lvl4_Inf_LinewithReserves,1,{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},,,,,,,,,,
Confederate Side Commander,OOB_MNK_C_SIDE_CMD_,General {pool:commanders_american},Army of Northern Virginia,X,,,,,,UGLB_CSA_Inf_Cdr_Army,(0-0),,,GFX_CS_HQ_Lee,,DRIL_Lvl4_Inf_LinewithReserves,1,{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},,,,,,,,,,

, Courier 
French Courier,OOB_MNK_FR_Courier,Courrier Français,,,,X,,,,C_Courier,(8-7),,,GFX_CO_Cav_French,,DRIL_SupplyWagon,10,,,,,,9,9,9,9,9,9,9,9,9,9,9
British Courier,OOB_MNK_BR_Courier,British Courier,,,,X,,,,U_Courier,(8-7),,,GFX_CO_Cav_British,,DRIL_SupplyWagon,10,,,,,,9,9,9,9,9,9,9,9,9,9,9
Union Courier,OOB_MNK_U_Courier,Union Courier,,,,X,,,,U_Courier,(1-0),,0,GFX_US_National_Cav,,DRIL_SupplyWagon,10,,,,,,9,9,9,9,9,9,9,9,9,9,9
Confederate Courier,OOB_MNK_C_Courier,Confederate Courier,,,,X,,,,C_Courier,(1-0),,0,GFX_CS_ArtilleryVa,,DRIL_SupplyWagon,10,,,,,,9,9,9,9,9,9,9,9,9,9,9

, Ammo Wagon
French Ammo Wagon,OOB_MNK_FR_Wagon,Escadron du Train,,,,,,X,,UGLB_FR_Wagon,(8-7),,50000,GFX_CO_Art_French,,DRIL_SupplyWagon,10,,,,,,9,9,9,9,9,9,9,9,9,9,9
British Ammo Wagon,OOB_MNK_BR_Wagon,Royal Wagon Train,,,,,,X,,UGLB_BR_Wagon,(8-7),,50000,GFX_CO_Cav_British,,DRIL_SupplyWagon,10,,,,,,9,9,9,9,9,9,9,9,9,9,9
Union Ammo Wagon,OOB_MNK_U_Wagon,Ordnance Supply Wagon,,,,,,X,,UGLB_USA_Wagon,(1-0),,50000,GFX_US_5C1_Div_Wagon,GFX_US_National_Cav,DRIL_SupplyWagon,10,,,,,,9,9,9,9,9,9,9,9,9,9,9
Confederate Ammo Wagon,OOB_MNK_C_Wagon,Ordnance Supply Wagon,,,,,,X,,UGLB_CSA_Wagon,(1-0),,50000,GFX_CS_ArtilleryVaCO,,DRIL_SupplyWagon,10,,,,,,9,9,9,9,9,9,9,9,9,9,9
